epoch,train_loss,val_loss,val_dice_mean,val_dice_wt,val_dice_tc,val_dice_et
1,1.5700005307793616,1.5041107475757598,0.35241807,0.5761875,0.23934765,0.24171904
2,1.4757398337125778,1.4401589930057526,0.4480343,0.57871354,0.3564284,0.408961
3,1.4254916697740554,1.3856057941913604,0.5275141,0.65027803,0.43011642,0.5021478
4,1.3709869921207427,1.3296261131763458,0.5964115,0.72153413,0.48591152,0.5817889
5,1.3042418241500855,1.2632571399211883,0.5645059,0.68574846,0.4463539,0.5614153
6,1.2451571896672249,1.20506192445755,0.56428695,0.64853895,0.47974768,0.5645743
7,1.1822566173970699,1.1586925774812697,0.5630679,0.65287745,0.46112746,0.5751989
8,1.1124617785215378,1.109587162733078,0.56628436,0.6896259,0.43355554,0.5756716
9,1.0905835032463074,1.0562191992998122,0.6485908,0.7219102,0.59909827,0.6247639
10,1.0781979449093342,1.0466520696878434,0.5904673,0.67239296,0.46884122,0.6301676
11,1.0176940187811852,0.9943198204040528,0.6136344,0.72200716,0.5078638,0.6110323
12,0.968123734742403,0.969428077340126,0.5824976,0.70671433,0.49331608,0.54746234
13,0.939468351751566,0.9382099479436874,0.5850549,0.677786,0.48963147,0.58774704
14,0.9454904869198799,0.9038227438926697,0.66795224,0.75988406,0.572952,0.6710206
15,0.9211605489253998,0.8703174948692322,0.6545729,0.752905,0.5337806,0.67703307
16,0.881071611493826,0.8807227104902268,0.6579054,0.7545034,0.5731182,0.6460946
17,0.8623781837522984,0.8738365560770035,0.5538859,0.6296707,0.462215,0.569772
18,0.8499381154775619,0.8203318297863007,0.62460756,0.7435722,0.52660406,0.6036466
19,0.7951930530369282,0.7837289184331894,0.7024517,0.7848266,0.622903,0.6996254
20,0.7837599217891693,0.7627342730760575,0.64518154,0.7289339,0.5554019,0.65120876
21,0.7713001955300569,0.7470337301492691,0.6782403,0.8122095,0.5365101,0.6860012
22,0.7025750916451216,0.7187387809157372,0.6649234,0.7542713,0.57422,0.66627896
23,0.7276484787464141,0.718043652176857,0.6333465,0.7438966,0.4992571,0.65688574
24,0.6763189859688282,0.6840414509177208,0.6711585,0.73860854,0.5834754,0.69139147
25,0.6934112206101417,0.6656580224633217,0.6872914,0.7979039,0.58833736,0.6756329
26,0.7021437793970108,0.645760354399681,0.69626075,0.7914677,0.6288354,0.6684791
27,0.625072018802166,0.6357875883579254,0.7219987,0.79309094,0.63973063,0.7331745
28,0.6395131472498179,0.6094550147652626,0.730398,0.7711009,0.6822861,0.73780704
29,0.5960740718990565,0.5819899275898933,0.76264733,0.8451479,0.6995568,0.74323714
30,0.5760981693863869,0.5776530757546425,0.78983593,0.8336052,0.7398144,0.7960881
31,0.5859528098255395,0.5671788096427918,0.75355387,0.8322956,0.69446504,0.73390114
32,0.5709483575075864,0.5665218189358712,0.7129945,0.8192374,0.60128444,0.7184616
33,0.5931634299457074,0.5559416741132737,0.68880415,0.75724906,0.62461185,0.68455136
34,0.5394253630191088,0.5300106182694435,0.7411709,0.84604394,0.61334234,0.7641263
35,0.549227855913341,0.523265540599823,0.82592267,0.8684555,0.7902827,0.8190298
36,0.5222678193822503,0.5152130767703056,0.731261,0.76856124,0.67113,0.7540917
37,0.5260546488687396,0.5046836569905281,0.7610423,0.82978964,0.6594204,0.7939168
38,0.49956233203411105,0.48071434870362284,0.74978834,0.8145999,0.6886955,0.7460696
39,0.4996230509132147,0.49131389558315275,0.718466,0.7741252,0.65695536,0.72431743
40,0.48383151181042194,0.4557610362768173,0.8163956,0.88010156,0.7484093,0.82067597
